cruise_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,aware,9,29,6,0.20689655172413793,6,0,0.0,6,58,10.58333333336031,0.13333333333369998,2.499999999999918,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.323152780532837
60,aware,10,29,9,0.3103448275862069,9,0,0.0,9,88,9.344444444456927,0.26666666666658834,3.754166666666569,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.2525131702423096
60,aware,11,29,5,0.1724137931034483,4,0,0.0,5,50,7.8600000000104275,0.4000000000003013,2.0847222222221635,100.0,100.0,0.0,0.0,29,7,4,4,0,25,3.1463146209716797
60,aware,12,29,9,0.3103448275862069,9,1,0.1111111111111111,9,91,9.255555555557391,0.28888888888885034,3.755555555555458,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.2084052562713623
60,aware,13,29,7,0.2413793103448276,7,0,0.0,7,69,10.614285714301944,0.20000000000032156,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.2028424739837646
60,aware,14,29,7,0.2413793103448276,7,0,0.0,7,69,7.8000000000075875,0.12857142857163645,2.920833333333227,100.0,100.0,0.0,0.0,29,10,7,7,0,22,3.2135660648345947
60,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.222076177597046
60,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2400078773498535
60,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.4115772247314453
60,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.443445920944214
60,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.4261865615844727
60,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.5056047439575195
60,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.5272555351257324
60,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.352900266647339
60,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.337181568145752
60,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.316723585128784
60,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2540781497955322
60,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.21862530708313
60,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2636196613311768
60,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.208251953125
