driver_reaction_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.5,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.124370574951172
1.5,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1174120903015137
1.5,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.989727258682251
1.5,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0985753536224365
1.5,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.0478134155273438
2.5,detection,0,29,9,0.3103448275862069,8,0,0.0,9,92,10.722222222247463,0.3777777777790605,3.7527777777776796,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.484389543533325
2.5,detection,1,29,5,0.1724137931034483,5,0,0.0,5,50,8.500000000016461,0.2400000000005093,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.505086898803711
2.5,detection,2,29,3,0.10344827586206896,3,1,0.3333333333333333,3,33,7.500000000008716,0.26666666666710626,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.367889404296875
2.5,detection,3,29,4,0.13793103448275862,4,0,0.0,4,40,6.9750000000153705,0.2000000000006139,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.436269521713257
2.5,detection,4,29,5,0.1724137931034483,4,0,0.0,5,50,7.640000000004397,0.2400000000003047,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.383382558822632
2.5,detection,5,29,7,0.2413793103448276,7,0,0.0,7,70,8.61428571429568,0.42857142857240305,2.920833333333227,100.0,100.0,0.0,0.0,29,10,7,7,0,22,3.4158828258514404
2.5,detection,6,29,4,0.13793103448275862,4,0,0.0,4,39,9.675000000011067,0.3500000000005059,1.6666666666666312,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.3017337322235107
2.5,detection,7,29,7,0.2413793103448276,7,1,0.14285714285714285,7,72,8.65714285715113,0.228571428571647,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.3233063220977783
