radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
15,aware,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.469560384750366
15,aware,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.3699541091918945
15,aware,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.3895957469940186
15,aware,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.3953943252563477
15,aware,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.3174757957458496
15,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1335909366607666
15,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.13783860206604
15,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.073286294937134
15,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.118147611618042
15,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1099929809570312
15,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.092052459716797
15,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.105621337890625
15,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.134612798690796
15,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.970871925354004
15,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.044917345046997
15,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.129591941833496
15,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1330959796905518
15,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.9965827465057373
15,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0002849102020264
15,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.0079238414764404
20,detection,0,29,6,0.20689655172413793,5,0,0.0,6,60,9.21666666667771,0.13333333333335418,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.176093578338623
20,detection,1,29,6,0.20689655172413793,5,0,0.0,6,59,10.366666666679217,0.28333333333375776,2.5027777777776947,100.0,100.0,0.0,3.600000000000002,29,7,6,6,1,24,3.12164568901062
20,detection,2,29,8,0.27586206896551724,9,0,0.0,8,79,10.287500000013011,0.3375000000004462,3.33749999999987,100.0,100.0,0.0,1.6000000000000003,29,9,9,9,1,21,3.2395169734954834
20,detection,3,29,3,0.10344827586206896,3,0,0.0,3,30,10.600000000017795,0.26666666666733363,1.2513888888888773,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.2296535968780518
20,detection,4,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,11.000000000019392,0.5000000000015754,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.289438247680664
20,detection,5,29,4,0.13793103448275862,4,0,0.0,4,40,10.875000000016371,0.4499999999999318,1.669444444444409,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.353443145751953
20,detection,6,29,6,0.20689655172413793,6,0,0.0,6,59,9.866666666680336,0.46666666666679174,2.5013888888888065,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.2624294757843018
20,detection,7,29,8,0.27586206896551724,9,2,0.2222222222222222,8,86,9.825000000011151,0.28749999999994813,3.3388888888887585,100.0,100.0,0.0,1.7000000000000004,29,9,9,9,1,20,3.3414535522460938
20,detection,8,29,2,0.06896551724137931,2,0,0.0,2,21,6.000000000014666,0.1500000000005457,0.8333333333333414,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.3149094581604004
20,detection,9,29,8,0.27586206896551724,7,0,0.0,8,82,9.28750000000634,0.112499999999919,3.3388888888887585,100.0,100.0,0.0,2.1000000000000005,29,9,8,8,1,22,3.473860502243042
